UniqueID,Section,Semester,TestControl,LAB_Avg_PI,LAB_grade_Avg,ASSIGN_PI_avg,ASSIGN_grade_Avg,QUIZ_PI_Avg,Quiz_Grade_Avg.,Final_PI_Avg,Final_Grade_Avg,final_weigth_PI
38883537,1113-02,SP23,Test,0,98.286,0.143,68.571,0.143,59.286,0.095,75.381,0.08
22692382,1113-02,SP23,Test,0.143,98.714,0.429,85.714,0.857,91.286,0.476,91.905,0.4
57502365,1113-02,SP23,Test,0.286,57.857,0.429,71.429,0.143,65.429,0.286,64.905,0.24
64549879,1113-02,SP23,Test,0,95.143,0,97.143,0.143,92.286,0.048,94.857,0.04
63772600,1113-02,SP23,Test,0.714,57.714,0.714,67.619,0.571,81.143,0.667,68.825,0.56
70879287,1113-02,SP23,Test,0,98.143,0.143,68.571,0.571,76.429,0.238,81.048,0.2
24168682,1113-02,SP23,Test,0,85.571,0,94.286,0,85.143,0,88.333,0
2846148,1113-02,SP23,Test,0.429,84.286,0.857,40.953,0.429,81.714,0.571,68.984,0.48
16858491,1113-02,SP23,Test,0.429,90.286,0.714,65.714,0.714,57.857,0.619,71.286,0.52
30149537,1113-02,SP23,Test,0.571,30.286,0.857,28.571,0.429,22.143,0.619,27,0.52
74065130,1113-02,SP23,Test,0.429,69.857,0.286,74.286,0.143,80,0.286,74.714,0.24
94312881,1113-02,SP23,Test,0.286,98.143,0.286,82.857,0.714,55.429,0.429,78.81,0.36
4384696,1113-02,SP23,Test,0,100,0,94.286,0,96.857,0,97.048,0
53164261,1113-02,SP23,Test,0,91,0,71.429,0,60.286,0,74.238,0
46789092,1113-02,SP23,Test,0.571,84.286,0.286,77.143,0.143,73,0.333,78.143,0.28
4384696,1113-02,SP23,Test,0,100,0,94.286,0,92.143,0,95.476,0
79871276,1113-02,SP23,Test,0.286,88.429,0,94.286,0,88.429,0.095,90.381,0.08
77641746,1113-02,SP23,Test,0,81.857,0,91.429,0,84.429,0,85.905,0
8925080,1113-02,SP23,Test,0.143,80.571,0.286,79.047,0.286,72.857,0.238,77.492,0.2
66472393,1113-02,SP23,Test,0.429,76.714,0.429,71.429,0.286,56.714,0.381,68.286,0.32
20686327,1113-02,SP23,Test,0,94.286,0,82.857,0,82.429,0,86.524,0
4384696,1113-02,SP23,Test,0,100,0,88.571,0,93.286,0,93.952,0
94312881,1113-02,SP23,Test,0.286,98.143,0.286,62.857,0,90.429,0.19,83.81,0.16
42436544,1113-02,SP23,Test,0.143,100,0.429,71.429,0.143,88.143,0.238,86.524,0.2
29447355,1113-02,SP23,Test,0.857,93.429,0.143,68.571,0.143,87.429,0.381,83.143,0.32
48614178,1113-02,SP23,Test,0.429,97.857,0,74.286,0.143,79,0.19,83.714,0.16
20480358,1113-02,SP23,Test,0.143,93.571,0,80,0,81.857,0.048,85.143,0.04
20150384,1113-02,SP23,Test,0.714,89.143,0.143,77.143,0.429,88.571,0.429,84.952,0.36
57073441,1113-02,SP23,Test,0.143,78,0.143,57.143,0.143,64,0.143,66.381,0.12
77825728,1113-02,SP23,Test,1,0,1,0,1,0,1,0,0.84
79709239,1113-02,SP23,Test,0.286,94,0.286,77.143,0.429,81.429,0.333,84.19,0.28
85939118,1113-02,SP23,Test,0.143,95.714,0.143,77.143,0.429,67.714,0.238,80.19,0.2
15042435,1113-02,SP23,Test,0.143,66.286,0.143,69.524,0.143,76.714,0.143,70.841,0.12
18642172,1113-01,SP23,Test,0,95,0,91.429,0.143,77.857,0.048,88.095,0.04
94253708,1113-01,SP23,Test,1,21.571,0.714,57.143,0.857,61.714,0.857,46.81,0.72
89089204,1113-01,SP23,Test,0.143,86.714,0.286,86.667,0.286,87.714,0.238,87.032,0.2
60944351,1113-01,SP23,Test,0.429,98.286,0.429,77.143,0.714,83,0.524,86.143,0.44
51002842,1113-01,SP23,Test,0.286,99,0.714,77.143,0.714,89.571,0.571,88.571,0.48
95708964,1113-01,SP23,Test,0.143,96.429,0.143,88.571,0.143,88.286,0.143,91.095,0.12
12009125,1113-01,SP23,Test,0.286,96.571,0,91.429,0.286,88.286,0.19,92.095,0.16
8998298,1113-01,SP23,Test,0,94.429,0.143,68.571,0,77.429,0.048,80.143,0.04
60716705,1113-01,SP23,Test,0,99.571,0,97.143,0,90.714,0,95.81,0
16415975,1113-01,SP23,Test,0,73.143,0.143,74.286,0,86.714,0.048,78.048,0.04
31043565,1113-01,SP23,Test,0,100,0,91.429,0.429,92,0.143,94.476,0.12
99328738,1113-01,SP23,Test,0,96.143,0,88.571,0.143,83.714,0.048,89.476,0.04
76199601,1113-01,SP23,Test,0.143,81.857,0,80,0,88.714,0.048,83.524,0.04
51795909,1113-01,SP23,Test,0,93.714,0,88.571,0.143,88.571,0.048,90.286,0.04
88313213,1113-01,SP23,Test,0.571,74.714,0.857,80,0.286,82.286,0.571,79,0.48
84797395,1113-01,SP23,Test,0.143,98.286,0,88.571,0,81.714,0.048,89.524,0.04
2504838,1113-01,SP23,Test,0,83.286,0,80,0.143,54.714,0.048,72.667,0.04
99521810,1113-01,SP23,Test,0,93.571,0,92.381,0,86.143,0,90.699,0
79804469,1113-01,SP23,Test,0.286,97.857,0.286,82.857,0.286,92,0.286,90.905,0.24
20056607,1113-01,SP23,Test,0.571,98.143,0.143,80,0,81.857,0.238,86.667,0.2
50419987,1113-01,SP23,Test,0.143,90.429,0.286,100,0.143,87.143,0.19,92.524,0.16
48401718,1113-01,SP23,Test,0.143,81.714,0,94.286,0,88.143,0.048,88.048,0.04
37170820,1113-01,SP23,Test,0.714,75.714,0.857,78.096,0.429,88.429,0.667,80.746,0.56
39910926,1113-01,SP23,Test,0.286,97.429,0.429,82.857,0.143,92.143,0.286,90.81,0.24
41210492,1113-01,SP23,Test,0,90.714,0,97.143,0,94.857,0,94.238,0
45820390,1113-01,SP23,Test,0,97.429,0,91.429,0,81.571,0,90.143,0
79095132,1113-01,SP23,Test,0,76.429,0.571,51.429,0.571,74.429,0.381,67.429,0.32
29553364,1113-01,SP23,Test,0.286,83.714,0.429,82.857,0.429,85.286,0.381,83.952,0.32
28544556,1113-01,SP23,Test,0.143,99.143,0.143,57.143,0.143,83.143,0.143,79.81,0.12
28163657,1113-01,SP23,Test,0.571,31.143,0.857,37.143,0.857,50.571,0.762,39.619,0.64
79923412,1113-01,SP23,Test,0.286,100,0,97.143,0.286,79.286,0.19,92.143,0.16
50638783,1113-01,SP23,Test,0.714,39.714,0.857,51.429,0.714,63.143,0.762,51.429,0.64
35843654,1113-01,SP23,Test,0.429,74,0.286,77.143,0.429,65.429,0.381,72.19,0.32
719664,1113-01,SP23,Test,0.857,46.571,0.286,75.239,0.143,74.429,0.429,65.413,0.36
53320259,1113-01,SP23,Test,0.429,99.143,0.143,85.714,0,88.286,0.19,91.048,0.16
69848479,1113-01,SP23,Test,0.714,25,0.571,37.143,0.429,62.714,0.571,41.619,0.48
55926283,1113-01,SP23,Test,0.286,87.286,0,94.286,0,81.571,0.095,87.714,0.08
28096140,1113-01,SP23,Test,0,98.714,0.429,68.571,0.286,91.714,0.238,86.333,0.2
31043565,1113-01,SP23,Test,0,100,0,91.429,0.143,88,0.048,93.143,0.04
45653295,1113-01,SP23,Test,0.714,0,0.857,14.286,0.857,8,0.81,7.429,0.68
20564630,1113-01,SP23,Test,0.143,99.571,0.143,82.857,0.429,84.286,0.238,88.905,0.2
37055354,1113-01,SP23,Test,0.143,100,0,94.286,0,97.857,0.048,97.381,0.04
40006715,1112W01,SP23,Test,0,76.827,0.286,100,0.5,48,0.262,74.942,0.186
27596146,1112W01,SP23,Test,0.875,0.735,0.857,57.143,0.75,40.25,0.827,32.709,0.381
50362193,1112W01,SP23,Test,0.5,75.238,1,100,0.25,78,0.583,84.413,0.196
87216372,1112W01,SP23,Test,0.375,58.821,0.429,100,0.75,59.25,0.518,72.69,0.309
72645096,1112W01,SP23,Test,0.125,82.389,0.143,85.714,0,75.5,0.089,81.201,0.021
29878650,1112W01,SP23,Test,0.5,11.378,0.714,28.571,0.875,9.25,0.696,16.4,0.381
65661773,1112W01,SP23,Test,0.125,80.719,0,97.143,0,65.25,0.042,81.037,0.01
41453964,1112W01,SP23,Test,0.125,72.88,0.429,100,0,73.75,0.185,82.21,0.041
82200949,1112W01,SP23,Test,0.125,71.263,0.714,100,0.375,43.25,0.405,71.504,0.185
22447552,1112W01,SP23,Test,0.625,82.485,0.857,57.143,0.5,43.5,0.661,61.043,0.278
5492491,1112W01,SP23,Test,0.125,96.36,0.857,100,0,68,0.327,88.12,0.072
64058032,1112W01,SP23,Test,0,89.438,0.286,100,0,74.75,0.095,88.063,0.021
88676133,1112W01,SP23,Test,0.125,86.583,0.571,100,0,86,0.232,90.861,0.051
